id,name,card_type,color,cost,life,effect,type,counter,power,attribute,block,collection_name,collection_id,trigger,trigger_effect
OP03-013,Marco,Character,Red,5,NULL,[Your Turn] [On Play] K.O. up to 1 of your opponent's Characters with 3000 power or less. || [On K.O.] You may trash 1 Event from your hand: You may play this Character card from your trash rested.,Whitebeard Pirates,NULL,6000,Special,Block 1,Pillars of Strength,OP03,False,NULL
OP03-014,Monkey.D.Garp,Character,Red,3,NULL,[When Attacking] Play up to 1 red Character card with a cost of 1 from your hand.,Navy,NULL,5000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-015,Lim,Character,Red,3,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [Opponent's Turn] When this Character is K.O.'d, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.",ODYSSEY,NULL,2000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-016,Flame Emperor,Event,Red,7,NULL,"[Main] If your Leader is [Portgas.D.Ace], K.O. up to 1 of your opponent's Characters with 8000 power or less, and your Leader gains [Double Attack] and +3000 power during this turn. (This card deals 2 damage.)",Whitebeard Pirates,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,K.O. up to 1 of your opponent's Characters with 6000 power or less.
OP03-017,Cross Fire,Event,Red,2,NULL,"[Main]/[Counter] If your Leader's type includes ""Whitebeard Pirates"", give up to 1 of your opponent's Characters −4000 power during this turn.",Whitebeard Pirates,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Activate this card's [Main] effect.
OP03-018,Fire Fist,Event,Red,3,NULL,[Main] You may trash 1 Event from your hand: K.O. up to 1 of your opponent's Characters with 5000 power or less and up to 1 of your opponent's Characters with 4000 power or less.,Whitebeard Pirates,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,K.O. up to 1 of your opponent's Characters with 5000 power or less.
OP03-019,Fiery Doll,Event,Red,2,NULL,[Main] Your Leader gains +4000 power during this turn.,Whitebeard Pirates,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Give up to 1 of your opponent's Leader or Character cards -10000 power during this turn.
OP03-020,Striker,Stage,Red,1,NULL,"[Activate: Main] ② (You may rest the specified number of DON!! cards in your cost area.) You may rest this Stage: If your Leader is [Portgas.D.Ace], look at 5 cards from the top of your deck; reveal up to 1 Event and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Whitebeard Pirates,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,False,NULL
OP03-021,Kuro,Leader,Green,NULL,5,"[Activate: Main] ③ (You may rest the specified number of DON!! cards in your cost area.) You may rest 2 of your {East Blue} type Characters: Set this Leader as active, and rest up to 1 of your opponent's Characters with a cost of 5 or less.",East Blue/Black Cat Pirates,NULL,5000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-022,Arlong,Leader,Green/Yellow,NULL,4,[DON!! x2] [When Attacking] ① (You may rest the specified number of DON!! cards in your cost area.): Play up to 1 Character card with a cost of 4 or less and a [Trigger] from your hand.,Fish-Man/East Blue/Arlong Pirates,NULL,5000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-023,Alvida,Character,Green,1,NULL,,East Blue/Alvida Pirates,NULL,3000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-024,Gin,Character,Green,4,NULL,"[On Play] If your Leader has the {East Blue} type, rest up to 2 of your opponent's Characters with a cost of 4 or less.",East Blue/Krieg Pirates,NULL,5000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-025,Krieg,Character,Green,6,NULL,[On Play] You may trash 1 card from your hand: K.O. up to 2 of your opponent's rested Characters with a cost of 4 or less. || [DON!! x1] This Character gains [Double Attack]. || (This card deals 2 damage.),East Blue/Krieg Pirates,NULL,7000,Ranged,Block 1,Pillars of Strength,OP03,False,NULL
OP03-026,Kuroobi,Character,Green,4,NULL,"[On Play] If your Leader has the {East Blue} type, rest up to 1 of your opponent's Characters. ||  || [Trigger] Play this card.",Fish-Man/East Blue/Arlong Pirates,NULL,3000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-027,Sham,Character,Green,3,NULL,"[On Play] If your Leader has the {East Blue} type, rest up to 1 of your opponent's Characters with a cost of 2 or less and, if you don't have [Buchi], play up to 1 [Buchi] from your hand.",East Blue/Black Cat Pirates,NULL,4000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-028,Jango,Character,Green,5,NULL,[On Play] Choose one: || - Set up to 1 of your {East Blue} type Leader or Character cards with a cost of 6 or less as active. || - Rest this Character and up to 1 of your opponent's Characters.,East Blue/Black Cat Pirates,NULL,6000,Special,Block 1,Pillars of Strength,OP03,False,NULL
OP03-029,Chew,Character,Green,4,NULL,[On Play] K.O. up to 1 of your opponent's rested Characters with a cost of 4 or less. ||  || [Trigger] Play this card.,Fish-Man/East Blue/Arlong Pirates,NULL,3000,Ranged,Block 1,Pillars of Strength,OP03,False,NULL
OP03-030,Nami,Character,Green,2,NULL,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 green {East Blue} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order. ||  || [Trigger] Play this card.",East Blue/Arlong Pirates,NULL,2000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-031,Pearl,Character,Green,2,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",East Blue/Krieg Pirates,NULL,2000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-032,Buggy,Character,Green,3,NULL,This Character cannot be K.O.'d in battle by <Slash> attribute cards.,East Blue/Buggy Pirates,NULL,5000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-033,Hatchan,Character,Green,4,NULL,,Fish-Man/East Blue/Arlong Pirates,NULL,4000,Slash,Block 1,Pillars of Strength,OP03,True,"If your Leader has the {East Blue} type, play this card."
OP03-034,Buchi,Character,Green,4,NULL,[On Play] K.O. up to 1 of your opponent's rested Characters with a cost of 2 or less.,East Blue/Black Cat Pirates,NULL,5000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-035,Momoo,Character,Green,2,NULL,,Animal/East Blue,NULL,4000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-036,Out-of-the-Bag,Event,Green,3,NULL,[Main] You may rest 1 of your {East Blue} type Characters: Set up to 1 of your [Kuro] cards as active.,East Blue/Black Cat Pirates,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less.
OP03-037,Tooth Attack,Event,Green,1,NULL,[Main] You may rest 1 of your {East Blue} type Characters: K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less.,Fish-Man/East Blue/Arlong Pirates,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Play up to 1 Character card with a cost of 4 or less and a [Trigger] from your hand.
OP03-038,Deathly Poison Gas Bomb MH5,Event,Green,1,NULL,[Main] Rest up to 2 of your opponent's Characters with a cost of 2 or less.,East Blue/Krieg Pirates,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Rest up to 1 of your opponent's Characters with a cost of 5 or less.
OP03-039,"One, Two, Jango",Event,Green,1,NULL,"[Main] Rest up to 1 of your opponent's Characters with a cost of 1 or less. Then, up to 1 of your Characters gains +1000 power during this turn.",East Blue/Black Cat Pirates,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Rest up to 1 of your opponent's Characters with a cost of 4 or less.
OP03-040,Nami,Leader,Blue,NULL,5,"When your deck is reduced to 0, you win the game instead of losing, according to the rules. || [DON!! x1] When this Leader's attack deals damage to your opponent's Life, you may trash 1 card from the top of your deck.",East Blue,NULL,5000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-041,Usopp,Character,Blue,4,NULL,"[Rush] (This card can attack on the turn in which it is played.) || [DON!! x1] When this Character's attack deals damage to your opponent's Life, you may trash 7 cards from the top of your deck.",East Blue,NULL,5000,Ranged,Block 1,Pillars of Strength,OP03,False,NULL
OP03-042,Usopp's Pirate Crew,Character,Blue,1,NULL,[On Play] Add up to 1 blue [Usopp] from your trash to your hand.,East Blue,NULL,0,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-043,Gaimon,Character,Blue,2,NULL,"When you deal damage to your opponent's Life, you may trash 3 cards from the top of your deck. If you do, trash this Character.",East Blue,NULL,0,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-044,Kaya,Character,Blue,1,NULL,[On Play] Draw 2 cards and trash 2 cards from your hand.,East Blue,NULL,0,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-045,Carne,Character,Blue,3,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [Opponent's Turn] If you have 20 or less cards in your deck, this Character gains +3000 power.",East Blue,NULL,3000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-046,Genzo,Character,Blue,2,NULL,,East Blue,NULL,4000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-047,Zeff,Character,Blue,5,NULL,"[DON!! x1] When this Character's attack deals damage to your opponent's Life, you may trash 7 cards from the top of your deck. || [On Play] You may return up to 1 Character with a cost of 3 or less to the owner's hand, and you may trash 2 cards from the top of your deck.",East Blue,NULL,6000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-048,Nojiko,Character,Blue,2,NULL,"[On Play] If your Leader is [Nami], return up to 1 of your opponent's Characters with a cost of 5 or less to the owner's hand.",East Blue,NULL,0,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-049,Patty,Character,Blue,3,NULL,"[On Play] If you have 20 or less cards in your deck, return up to 1 Character with a cost of 3 or less to the owner's hand.",East Blue,NULL,5000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-050,Boodle,Character,Blue,2,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [On K.O.] You may trash 1 card from the top of your deck.",East Blue,NULL,0,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-051,Bell-mère,Character,Blue,4,NULL,"[DON!! x1] When this Character's attack deals damage to your opponent's Life, you may trash 7 cards from the top of your deck. || [On K.O.] You may trash 3 cards from the top of your deck.",East Blue/Former Navy,NULL,5000,Ranged,Block 1,Pillars of Strength,OP03,False,NULL
OP03-052,Merry,Character,Blue,1,NULL,,East Blue,NULL,3000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-053,Yosaku & Johnny,Character,Blue,1,NULL,"[DON!! x1] If you have 20 or less cards in your deck, this Character gains +2000 power.",East Blue,NULL,3000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-054,Usopp's Rubber Band of Doom!!!,Event,Blue,1,NULL,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, you may trash 1 card from the top of your deck.",East Blue/Straw Hat Crew,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Draw 1 card and you may trash 1 card from the top of your deck.
OP03-055,Gum-Gum Giant Gavel,Event,Blue,1,NULL,"[Counter] You may trash 1 card from your hand: Up to 1 of your Leader gains +4000 power during this battle. Then, you may trash 2 cards from the top of your deck.",East Blue/Straw Hat Crew,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Return up to 1 Character with a cost of 4 or less to the owner's hand.
OP03-056,Sanji's Pilaf,Event,Blue,3,NULL,[Main] Draw 2 cards.,East Blue,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Activate this card's [Main] effect.
OP03-057,Three Thousand Worlds,Event,Blue,4,NULL,[Main] Place up to 1 Character with a cost of 5 or less at the bottom of the owner's deck.,East Blue/Straw Hat Crew,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Place up to 1 Character with a cost of 3 or less at the bottom of the owner's deck.
OP03-058,Iceburg,Leader,Purple,NULL,5,This Leader cannot attack. || [Activate: Main] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.) You may rest this Leader: Play up to 1 {Galley-La Company} type Character card with a cost of 5 or less from your hand.,Water Seven/Galley-La Company,NULL,5000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-059,Kaku,Character,Purple,5,NULL,"[When Attacking] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character gains [Banish] during this battle. || (When this card deals damage, the target card is trashed without activating its Trigger.)",Water Seven/Galley-La Company,NULL,6000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-060,Kalifa,Character,Purple,4,NULL,[When Attacking] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Draw 2 cards and trash 1 card from your hand.,Water Seven/Galley-La Company,NULL,4000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-061,Kiwi & Mozu,Character,Purple,2,NULL,,Water Seven/The Franky Family,NULL,4000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-062,Kokoro,Character,Purple,1,NULL,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Water Seven} type card other than [Kokoro] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Merfolk/Water Seven,NULL,2000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-063,Zambai,Character,Purple,3,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, draw 1 card.",Water Seven/The Franky Family,NULL,2000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-064,Tilestone,Character,Purple,5,NULL,"[On K.O.] If your Leader has the {Galley-La Company} type, add up to 1 DON!! card from your DON!! deck and rest it.",Water Seven/Galley-La Company,NULL,6000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-065,Chimney & Gonbe,Character,Purple,2,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Animal/Water Seven,NULL,2000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-066,Paulie,Character,Purple,5,NULL,"[On Play] ➁ (You may rest the specified number of DON!! cards in your cost area.): Add up to 1 DON!! card from your DON!! deck and set it as active. Then, if you have 8 or more DON!! cards on your field, K.O. up to 1 of your opponent's Characters with a cost of 4 or less.",Water Seven/Galley-La Company,NULL,6000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-067,Peepley Lulu,Character,Purple,5,NULL,"[DON!! x1] [When Attacking] If your Leader has the {Galley-La Company} type, add up to 1 DON!! card from your DON!! deck and rest it.",Water Seven/Galley-La Company,NULL,5000,Ranged,Block 1,Pillars of Strength,OP03,False,NULL
OP03-068,Minozebra,Character,Purple,4,NULL,"[Banish] (When this card deals damage, the target card is trashed without activating its Trigger.) || [On K.O.] If your Leader has the {Impel Down} type, add up to 1 DON!! card from your DON!! deck and rest it.",Impel Down/Jailer Beast,NULL,5000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-069,Minorhinoceros,Character,Purple,3,NULL,"[On K.O.] If your Leader has the {Impel Down} type, draw 2 cards and trash 1 card from your hand.",Impel Down/Jailer Beast,NULL,5000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-070,Monkey.D.Luffy,Character,Purple,6,NULL,[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.) You may trash 1 Character card with a cost of 5 from your hand: This Character gains [Rush] during this turn. || (This card can attack on the turn in which it is played.),Water Seven/Straw Hat Crew,NULL,7000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-071,Rob Lucci,Character,Purple,5,NULL,[When Attacking] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Rest up to 1 of your opponent's Characters with a cost of 5 or less.,Water Seven/Galley-La Company,NULL,6000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-072,Gum-Gum Jet Gatling,Event,Purple,0,NULL,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,Water Seven/Straw Hat Crew,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Add up to 1 DON!! card from your DON!! deck and set it as active.
OP03-073,Hull Dismantler Slash,Event,Purple,1,NULL,"[Main] DON!! -1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, K.O. up to 1 of your opponent's Characters with a cost of 2 or less.",Water Seven/The Franky Family,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Activate this card's [Main] effect.
OP03-074,Top Knot,Event,Purple,2,NULL,[Main] DON!! -2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Place up to 1 of your opponent's Characters with a cost of 4 or less at the bottom of the owner's deck.,Water Seven/Galley-La Company,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Activate this card's [Main] effect.
OP03-075,Galley-La Company,Stage,Purple,3,NULL,"[Activate: Main] You may rest this Stage: If your Leader is [Iceburg], add up to 1 DON!! card from your DON!! deck and rest it.",Water Seven/Galley-La Company,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,False,NULL
OP03-076,Rob Lucci,Leader,Black,NULL,5,"[Your Turn] [Once Per Turn] You may trash 2 cards from your hand: When your opponent's Character is K.O.'d, set this Leader as active.",CP9,NULL,5000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-077,Charlotte Linlin,Leader,Black/Yellow,NULL,4,"[DON!! x2] [When Attacking] ② (You may rest the specified number of DON!! cards in your cost area.) You may trash 1 card from your hand: If you have 1 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards.",The Four Emperors/Big Mom Pirates,NULL,5000,Special,Block 1,Pillars of Strength,OP03,False,NULL
OP03-078,Issho,Character,Black,8,NULL,"[DON!! x1] [Your Turn] Give all of your opponent's Characters −3 cost. || [On Play] If your opponent has 6 or more cards in their hand, trash 2 cards from your opponent's hand.",Navy,NULL,9000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-079,Vergo,Character,Black,5,NULL,[DON!! x1] This Character cannot be K.O.'d in battle.,Navy/Donquixote Pirates,NULL,5000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-080,Kaku,Character,Black,5,NULL,"[On Play] You may place 2 cards with a type including ""CP"" from your trash at the bottom of your deck in any order: K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",CP9,NULL,6000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-081,Kalifa,Character,Black,4,NULL,"[On Play] Draw 2 cards and trash 2 cards from your hand. Then, give up to 1 of your opponent's Characters −2 cost during this turn.",CP9,NULL,4000,Special,Block 1,Pillars of Strength,OP03,False,NULL
OP03-082,Kumadori,Character,Black,4,NULL,,CP9,NULL,6000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-083,Corgy,Character,Black,1,NULL,"[On Play] Look at 5 cards from the top of your deck and trash up to 2 cards. Then, place the rest at the bottom of your deck in any order.",World Government,NULL,0,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-084,Jerry,Character,Black,2,NULL,,CP6,NULL,4000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-085,Jabra,Character,Black,5,NULL,,CP9,NULL,7000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-086,Spandam,Character,Black,1,NULL,"[On Play] If your Leader's type includes ""CP"", look at 3 cards from the top of your deck; reveal up to 1 card with a type including ""CP"" other than [Spandam] and add it to your hand. Then, trash the rest.",CP9,NULL,2000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-087,Nero,Character,Black,3,NULL,,CP9,NULL,5000,Ranged,Block 1,Pillars of Strength,OP03,False,NULL
OP03-088,Fukurou,Character,Black,3,NULL,"This Character cannot be K.O.'d by effects. || [Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",CP9,NULL,3000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-089,Brannew,Character,Black,2,NULL,"[On Play] Look at 3 cards from the top of your deck; reveal up to 1 {Navy} type card other than [Brannew] and add it to your hand. Then, trash the rest.",Navy,NULL,3000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-090,Blueno,Character,Black,5,NULL,"[DON!! x1] This Character gains [Blocker]. || (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [On K.O.] Play up to 1 Character card with a type including ""CP"" and a cost of 4 or less from your trash rested.",CP9,NULL,6000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-091,Helmeppo,Character,Black,1,NULL,[On Play] Set the cost of up to 1 of your opponent's Characters with no base effect to 0 during this turn.,Navy,NULL,0,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-092,Rob Lucci,Character,Black,6,NULL,"[On Play] You may place 2 cards with a type including ""CP"" from your trash at the bottom of your deck in any order: This Character gains [Rush] during this turn. || (This card can attack on the turn in which it is played.)",CP9,NULL,7000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-093,Wanze,Character,Black,2,NULL,"[On Play] You may trash 1 card from your hand: If your Leader's type includes ""CP"", K.O. up to 1 of your opponent's Characters with a cost of 1 or less.",CP7,NULL,4000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-094,Air Door,Event,Black,4,NULL,"[Main] If your Leader's type includes ""CP"", look at 5 cards from the top of your deck; play up to 1 Character card with a type including ""CP"" and a cost of 5 or less. Then, trash the rest.",CP9,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Play up to 1 black Character card with a cost of 3 or less from your trash.
OP03-095,Soap Sheep,Event,Black,1,NULL,[Main] Give up to 2 of your opponent's Characters -2 cost during this turn.,CP9,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Your opponent trashes 1 card from their hand.
OP03-096,Tempest Kick Sky Slicer,Event,Black,2,NULL,[Main] K.O. up to 1 of your opponent's Characters with a cost of 0 or your opponent's Stages with a cost of 3 or less.,CP9,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Draw 2 cards.
OP03-097,Six King Pistol,Event,Black,0,NULL,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,CP9,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,"Draw 1 card. Then, K.O. up to 1 of your opponent's Characters with a cost of 1 or less."
OP03-098,Enies Lobby,Stage,Black,2,NULL,"[Activate: Main] You may rest this Stage: If your Leader's type includes ""CP"", give up to 1 of your opponent's Characters -2 cost during this turn.",World Government,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,Play this card.
OP03-099,Charlotte Katakuri,Leader,Yellow,NULL,5,"[DON!! x1] [When Attacking] Look at up to 1 card from the top of your or your opponent's Life cards, and place it at the top or bottom of the Life cards. Then, this Leader gains +1000 power during this battle.",Big Mom Pirates,NULL,5000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-100,Kingbaum,Character,Yellow,3,NULL,,Big Mom Pirates/Homies,NULL,5000,Strike,Block 1,Pillars of Strength,OP03,True,You may trash 1 card from the top or bottom of your Life cards: Play this card.
OP03-101,Camie,Character,Yellow,1,NULL,,Merfolk,NULL,3000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-102,Sanji,Character,Yellow,2,NULL,[DON!! x2] [When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: Add up to 1 card from the top of your deck to the top of your Life cards.,The Vinsmoke Family,NULL,3000,Strike,Block 1,Pillars of Strength,OP03,False,NULL
OP03-103,Bobbin the Disposer,Character,Yellow,2,NULL,,Big Mom Pirates,NULL,4000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-104,Shirley,Character,Yellow,3,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [On Play] Look at up to 1 card from the top of your or your opponent's Life cards, and place it at the top or bottom of the Life cards.",Merfolk,NULL,3000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-105,Charlotte Oven,Character,Yellow,3,NULL,[DON!! x1] [When Attacking] You may trash 1 card with a [Trigger] from your hand: This Character gains +3000 power during this battle.,Big Mom Pirates,NULL,4000,Special,Block 1,Pillars of Strength,OP03,False,NULL
OP03-106,Charlotte Opera,Character,Yellow,4,NULL,,Big Mom Pirates,NULL,6000,Special,Block 1,Pillars of Strength,OP03,False,NULL
OP03-107,Charlotte Galette,Character,Yellow,2,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Big Mom Pirates,NULL,2000,Special,Block 1,Pillars of Strength,OP03,False,NULL
OP03-108,Charlotte Cracker,Character,Yellow,4,NULL,"[DON!! x1] If you have less Life cards than your opponent, this Character gains [Double Attack] and +1000 power. || (This card deals 2 damage.) ||  || [Trigger] You may trash 1 card from your hand: Play this card.",Big Mom Pirates,NULL,5000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-109,Charlotte Chiffon,Character,Yellow,2,NULL,[On Play] You may trash 1 card from the top or bottom of your Life cards: Add up to 1 card from the top of your deck to the top of your Life cards.,Big Mom Pirates,NULL,3000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-110,Charlotte Smoothie,Character,Yellow,4,NULL,[When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: This Character gains +2000 power during this battle. ||  || [Trigger] You may trash 1 card from your hand: Play this card.,Big Mom Pirates,NULL,5000,Special,Block 1,Pillars of Strength,OP03,False,NULL
OP03-111,Charlotte Praline,Character,Yellow,3,NULL,,Merfolk/The Sun Pirates,NULL,5000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-112,Charlotte Pudding,Character,Yellow,1,NULL,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 [Sanji] or {Big Mom Pirates} type card other than [Charlotte Pudding] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Big Mom Pirates,NULL,2000,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-113,Charlotte Perospero,Character,Yellow,3,NULL,"[On K.O.] Look at 3 cards from the top of your deck; reveal up to 1 {Big Mom Pirates} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order. ||  || [Trigger] You may trash 1 card from your hand: Play this card.",Big Mom Pirates,NULL,5000,Special,Block 1,Pillars of Strength,OP03,False,NULL
OP03-114,Charlotte Linlin,Character,Yellow,0,NULL,"[On Play] If your Leader has the {Big Mom Pirates} type, add up to 1 card from the top of your deck to the top of your Life cards. Then, trash up to 1 card from the top of your opponent's Life cards.",The Four Emperors/Big Mom Pirates,NULL,12000,Special,Block 1,Pillars of Strength,OP03,False,NULL
OP03-115,Streusen,Character,Yellow,1,NULL,[On Play] You may trash 1 card with a [Trigger] from your hand: K.O. up to 1 of your opponent's Characters with a cost of 1 or less.,Big Mom Pirates,NULL,1000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-116,Shirahoshi,Character,Yellow,5,NULL,[On Play] Draw 3 cards and trash 2 cards from your hand. ||  || [Trigger] Play this card.,Merfolk,NULL,0,Wisdom,Block 1,Pillars of Strength,OP03,False,NULL
OP03-117,Napoleon,Character,Yellow,3,NULL,[Activate: Main] You may rest this Character: Up to 1 of your [Charlotte Linlin] cards gains +1000 power until the start of your next turn. ||  || [Trigger] Play this card.,Big Mom Pirates/Homies,NULL,3000,Slash,Block 1,Pillars of Strength,OP03,False,NULL
OP03-118,Ikoku Sovereignty,Event,Yellow,2,NULL,[Counter] Up to 1 of your Leader or Character cards gains +5000 power during this battle.,The Four Emperors/Big Mom Pirates,NULL,NULL,NULL,Block 1,Pillars of Strength,OP03,True,You may trash 2 cards from your hand: Add up to 1 card from the top of your deck to the top of your Life cards.
